Vector(Upload: 8.15 Mbit/s, Download: 22.96 Mbit/s, Sat Mar  7 10:00:20 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by 'Yes' Optus (Sydney) [7372.57 km]: 3360.987 ms)
Vector(Upload: 2.07 Mbit/s, Download: 7.18 Mbit/s, Sat Mar  7 10:09:50 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 29.723 ms)
Vector(Upload: 0.06 Mbit/s, Download: 7.70 Mbit/s, Sat Mar  7 10:11:36 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 56.744 ms)
Vector(Upload: 2.41 Mbit/s, Download: 8.96 Mbit/s, Sat Mar  7 10:19:33 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 76.373 ms)
Vector(Upload: 0.12 Mbit/s, Download: 0.33 Mbit/s, Sat Mar  7 10:21:24 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 114.997 ms)
Vector(Upload: 0.31 Mbit/s, Download: 41.15 Mbit/s, Sat Mar  7 10:28:41 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Fixed Network (New Taipei) [802.48 km]: 80.029 ms)
Vector(Upload: 2.30 Mbit/s, Download: 11.55 Mbit/s, Sat Mar  7 10:40:18 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 86.625 ms)
Vector(Upload: 14.78 Mbit/s, Download: 43.25 Mbit/s, Sat Mar  7 12:55:10 UTC 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by 'Yes' Optus (Sydney) [7372.57 km]: 161.091 ms)
Vector(Upload: 0.86 Mbit/s, Download: 2.08 Mbit/s, Sat Mar  7 22:07:59 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 120.989 ms)
Vector(Upload: 40.74 Mbit/s, Download: 80.98 Mbit/s, Sat Mar  7 22:09:18 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by NCIC Telcom (New Taipei) [802.48 km]: 83.466 ms)
Vector(Upload: 2.12 Mbit/s, Download: 5.42 Mbit/s, Sat Mar  7 22:10:30 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 294.103 ms)
Vector(Upload: 6.27 Mbit/s, Download: 5.26 Mbit/s, Sat Mar  7 22:42:29 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Digital Pacific (Sydney) [7372.57 km]: 342.061 ms)
